id,date,time,ticker,period,currency,eps,eps_est,eps_prior,eps_surprise,eps_surprise_percent,eps_type,exchange,importance,name,notes,period_year,revenue,revenue_est,revenue_prior,revenue_surprise,revenue_surprise_percent,revenue_type,date_confirmed,updated
5f169444a939b200013fd09c,2021-07-20,05:00:00,SBNY,Q2,USD,,,2.210,,,,NASDAQ,2,Signature Bank,,2021,,,399797000.000,,,,1,1626431517
5f1fcdf4013270000176542f,2021-07-20,06:40:00,OMC,Q2,USD,,,0.920,,,,NYSE,3,Omnicom Group,,2021,,,2801000000.000,,,,1,1626255674
5f169360a939b200013fd05e,2021-07-20,16:00:00,HOPE,Q2,USD,,,0.220,,,,NASDAQ,0,Hope Bancorp,,2021,,,121054000.000,,,,1,1626221485
5f16940ba939b200013fd090,2021-07-20,16:10:00,PFBC,Q2,USD,,,1.030,,,,NASDAQ,0,Preferred Bank,,2021,,,42182000.000,,,,1,1626209455
6017c4bea6fe6f0001ead2bf,2021-07-20,16:10:00,XM,Q2,USD,,-0.020,,,,,NASDAQ,0,Qualtrics International,,2021,,241630000.000,,,,,1,1626192060
5f211eaeaedc510001ba9c6e,2021-07-20,08:00:00,CATC,Q2,USD,,1.800,1.320,,,,NASDAQ,0,Cambridge,,2021,,41850000.000,37761000.000,,,,1,1626192058
5f1693bea939b200013fd072,2021-07-20,06:01:00,MBWM,Q2,USD,,0.740,0.540,,,,NASDAQ,0,Mercantile Bank,,2021,,41290000.000,41555000.000,,,,1,1626192053
5f1e7c9eb78f31000132b56b,2021-07-20,06:25:00,SI,Q2,USD,,0.510,0.290,,,,NYSE,0,Silvergate Capital,,2021,,35790000.000,21486000.000,,,,1,1626192044
5f16940aa939b200013fd08e,2021-07-20,06:00:00,PEBO,Q2,USD,,0.650,0.230,,,,NASDAQ,0,Peoples Bancorp,,2021,,54660000.000,49524000.000,,,,1,1626192043
5f1693d6a939b200013fd07c,2021-07-20,08:00:00,NEOG,Q4,USD,,0.160,0.310,,,,NASDAQ,0,Neogen,,2021,,122320000.000,109074000.000,,,,1,1626192042
5f169332a939b200013fd052,2021-07-20,16:30:00,FULT,Q2,USD,,0.330,0.240,,,,NASDAQ,0,Fulton Financial,,2021,,163440000.000,155854000.000,,,,1,1626192040
5f16944ea939b200013fd0a2,2021-07-20,08:00:00,SKFRY,Q2,USD,,,0.280,,,,OTC,0,SKF,,2021,,2500000000.000,1715000000.000,,,,1,1626192032
5f169450a939b200013fd0a4,2021-07-20,17:00:00,SMBK,Q2,USD,,0.460,0.410,,,,NASDAQ,0,SmartFinancial,,2021,,30760000.000,29257000.000,,,,1,1626192029
5f169412a939b200013fd096,2021-07-20,16:00:00,PNFP,Q2,USD,,1.440,0.890,,,,NASDAQ,0,Pinnacle Financial,,2021,,315540000.000,273739000.000,,,,1,1626192027
5f16932ca939b200013fd04e,2021-07-20,08:00:00,FMBI,Q2,USD,,0.370,0.190,,,,NASDAQ,0,First Midwest Bancorp,,2021,,188210000.000,178225000.000,,,,1,1626192024
5f1541c55acc770001de8b29,2021-07-20,07:00:00,ONB,Q2,USD,,0.400,0.320,,,,NASDAQ,0,Old National Bancorp,,2021,,205320000.000,204132000.000,,,,1,1626192024
5f17e5008caf190001e020c2,2021-07-20,07:00:00,HCA,Q2,USD,,3.160,3.230,,,,NYSE,3,HCA Healthcare,,2021,,13610000000.000,11068000000.000,,,,1,1626192016
5f16948fa939b200013fd0be,2021-07-20,17:00:00,UCBI,Q2,USD,,0.630,0.320,,,,NASDAQ,1,United Community Banks,,2021,,169280000.000,115999000.000,,,,1,1626192002
5f169286a939b200013fd02a,2021-07-20,16:15:00,AGR,Q2,USD,,0.410,0.320,,,,NYSE,1,Avangrid,,2021,,1520000000.000,1392000000.000,,,,1,1626192000
5f16936aa939b200013fd062,2021-07-20,16:00:00,IBKR,Q2,USD,,0.830,0.570,,,,NASDAQ,2,Interactive Brokers Group,,2021,,681280000.000,539000000.000,,,,1,1626191995
5f17e4a58caf190001e020a8,2021-07-20,07:00:00,DOV,Q2,USD,,1.830,1.130,,,,NYSE,2,Dover,,2021,,1890000000.000,1499000000.000,,,,1,1626191994
5f17e5378caf190001e020d4,2021-07-20,06:30:00,KEY,Q2,USD,,0.530,0.160,,,,NYSE,2,KeyCorp,,2021,,1730000000.000,1717000000.000,,,,1,1626191992
5f19359348c340000105e1ca,2021-07-20,16:00:00,FOR,Q3,USD,,0.400,0.160,,,,NYSE,1,Forestar Gr,,2021,,307570000.000,177900000.000,,,,1,1626191990
5f169454a939b200013fd0a8,2021-07-20,06:30:00,SNV,Q2,USD,,1.040,0.230,,,,NYSE,1,Synovus Financial,,2021,,489290000.000,550050000.000,,,,1,1626191989
5f1fce210132700001765467,2021-07-20,16:05:00,RXN,Q2,USD,,0.500,0.470,,,,NYSE,2,Rexnord,,2022,,544500000.000,493600000.000,,,,1,1626191986
5f17e5e98caf190001e02114,2021-07-20,16:00:00,RUSHA,Q2,USD,,0.790,0.460,,,,NASDAQ,2,Rush Enterprises,,2021,,1310000000.000,1003000000.000,,,,1,1626191985
5f1fcdae01327000017653e5,2021-07-20,07:01:00,IRDM,Q2,USD,,-0.060,-0.090,,,,NASDAQ,2,Iridium Communications,,2021,,148530000.000,140173000.000,,,,1,1626191985
5f169369a939b200013fd060,2021-07-20,16:00:00,HWC,Q2,USD,,1.110,0.110,,,,NASDAQ,2,Hancock Whitney,,2021,,318090000.000,315057000.000,,,,1,1626191983
5f0eaa642aa2050001c24094,2021-07-20,16:00:00,SNBR,Q2,USD,,1.070,-0.450,,,,NASDAQ,2,Sleep Number,,2021,,503850000.000,284938000.000,,,,1,1626191982
5f0ffb23ab31c20001f934bd,2021-07-20,08:00:00,BMI,Q2,USD,,0.460,0.330,,,,NYSE,3,Badger Meter,,2021,,118350000.000,91119000.000,,,,1,1626191957
