time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,lastYearRptDt,lastYearEPS
time-not-supplied,AMZN,"Amazon.com, Inc.","$1,831,300,350,163",Jun/2021,$12.16,13,07/30/2020,$10.30
time-pre-market,MA,Mastercard Incorporated,"$386,736,460,461",Jun/2021,$1.71,15,07/30/2020,$1.36
time-pre-market,CMCSA,Comcast Corporation,"$266,239,058,850",Jun/2021,$0.67,16,07/30/2020,$0.69
time-pre-market,MRK,"Merck & Company, Inc.","$197,247,346,555",Jun/2021,$1.48,5,07/31/2020,$1.37
time-pre-market,RDS.A,Royal Dutch Shell PLC,"$152,400,903,479",Jun/2021,$1.09,3,07/30/2020,$0.16
time-pre-market,AZN,Astrazeneca PLC,"$149,551,004,011",Jun/2021,$0.46,3,07/30/2020,$0.48
time-pre-market,RDS.B,Royal Dutch Shell PLC,"$148,145,857,762",Jun/2021,,3,NA,$0.16
time-not-supplied,BUD,Anheuser-Busch Inbev SA,"$136,164,229,233",Jun/2021,$1.21,1,07/30/2020,$0.46
time-pre-market,SNY,Sanofi,"$129,060,997,744",Jun/2021,$0.81,3,07/29/2020,$0.65
time-pre-market,AMT,American Tower Corporation (REIT),"$127,896,914,226",Jun/2021,$2.27,5,07/30/2020,$2.07
time-not-supplied,VALE,VALE S.A.,"$115,403,812,950",Jun/2021,$1.51,3,07/30/2020,$0.22
time-not-supplied,TTE,TotalEnergies SE,"$113,953,401,656",Jun/2021,$1.10,3,07/30/2020,$0.02
time-pre-market,SPGI,S&P Global Inc.,"$99,135,168,000",Jun/2021,$3.26,7,07/28/2020,$3.40
time-pre-market,MO,Altria Group,"$87,886,797,385",Jun/2021,$1.17,5,07/28/2020,$1.09
time-not-supplied,GILD,"Gilead Sciences, Inc.","$85,660,368,737",Jun/2021,$1.74,9,07/30/2020,$1.11
time-pre-market,ICE,Intercontinental Exchange Inc.,"$66,400,731,432",Jun/2021,$1.16,3,NA,$1.07
time-pre-market,SO,Southern Company (The),"$66,344,366,227",Jun/2021,$0.78,4,07/30/2020,$0.78
time-after-hours,TEAM,Atlassian Corporation Plc,"$64,856,020,667",Jun/2021,($0.09),6,07/30/2020,($0.06)
time-after-hours,TWLO,Twilio Inc.,"$63,253,282,241",Jun/2021,($0.69),5,08/04/2020,($0.45)
time-pre-market,NOC,Northrop Grumman Corporation,"$58,609,195,056",Jun/2021,$5.75,7,07/30/2020,$6.01
time-not-supplied,F,Ford Motor Company,"$55,922,938,870",Jun/2021,($0.27),4,07/30/2020,($0.35)
time-not-supplied,ABEV,Ambev S.A.,"$53,505,484,415",Jun/2021,$0.02,1,07/30/2020,$0.01
time-not-supplied,VRTX,Vertex Pharmaceuticals Incorporated,"$51,796,432,110",Jun/2021,$2.25,7,07/30/2020,$2.26
time-not-supplied,BBD,Banco Bradesco Sa,"$51,530,559,889",Jun/2021,$0.12,3,07/30/2020,$0.07
time-pre-market,KDP,Keurig Dr Pepper Inc.,"$51,041,395,568",Jun/2021,$0.37,7,07/30/2020,$0.33
time-pre-market,TRP,TC Energy Corporation,"$48,029,740,000",Jun/2021,$0.80,3,07/30/2020,$0.67
time-after-hours,KLAC,KLA Corporation ,"$46,559,341,586",Jun/2021,$3.94,6,08/03/2020,$2.73
time-not-supplied,LYG,Lloyds Banking Group Plc,"$44,883,694,488",Jun/2021,,0,07/30/2020,($0.12)
time-after-hours,PINS,"Pinterest, Inc.","$44,599,373,448",Jun/2021,($0.11),1,07/31/2020,($0.17)
time-after-hours,DLR,"Digital Realty Trust, Inc.","$44,234,610,536",Jun/2021,$1.58,6,07/30/2020,$1.54
time-not-supplied,BBDO,Banco Bradesco Sa,"$44,046,868,619",Jun/2021,,3,NA,$0.07
time-pre-market,CARR,Carrier Global Corporation,"$43,013,056,548",Jun/2021,$0.55,7,07/30/2020,$0.33
time-after-hours,DXCM,"DexCom, Inc.","$42,687,906,459",Jun/2021,$0.44,10,07/28/2020,$0.79
time-not-supplied,DD,"DuPont de Nemours, Inc.","$42,331,922,828",Jun/2021,$0.94,5,07/30/2020,$0.70
time-after-hours,FTNT,"Fortinet, Inc.","$41,858,314,207",Jun/2021,$0.61,8,08/06/2020,$0.58
time-pre-market,BAX,Baxter International Inc.,"$40,761,182,552",Jun/2021,$0.74,8,07/30/2020,$0.64
time-not-supplied,BBVA,Banco Bilbao Viscaya Argentaria S.A.,"$40,691,907,003",Jun/2021,,0,07/30/2020,$0.09
time-not-supplied,ALXN,"Alexion Pharmaceuticals, Inc.","$39,896,181,207",Jun/2021,$3.16,5,07/30/2020,$2.87
time-pre-market,HSY,Hershey Company (The),"$37,153,793,348",Jun/2021,$1.41,7,07/23/2020,$1.31
time-after-hours,WELL,Welltower Inc.,"$36,992,316,300",Jun/2021,$0.76,6,08/05/2020,$0.86
time-pre-market,XEL,Xcel Energy Inc.,"$36,985,571,296",Jun/2021,$0.56,4,07/30/2020,$0.54
time-after-hours,RSG,"Republic Services, Inc.","$36,538,896,561",Jun/2021,$0.93,9,08/06/2020,$0.81
time-not-supplied,YUM,"Yum! Brands, Inc.","$34,851,455,889",Jun/2021,$0.95,8,07/30/2020,$0.82
time-pre-market,STM,STMicroelectronics N.V.,"$34,430,425,848",Jun/2021,$0.38,2,07/23/2020,$0.10
time-pre-market,HLT,Hilton Worldwide Holdings Inc.,"$34,231,794,433",Jun/2021,$0.34,7,08/06/2020,($0.61)
time-after-hours,MTD,"Mettler-Toledo International, Inc.","$33,415,586,638",Jun/2021,$7.63,3,07/30/2020,$5.29
time-pre-market,NOK,Nokia Corporation,"$32,368,653,250",Jun/2021,$0.05,4,07/31/2020,$0.07
time-pre-market,MT,ArcelorMittal,"$32,283,634,037",Jun/2021,,0,07/30/2020,($0.30)
time-not-supplied,XLNX,"Xilinx, Inc.","$31,892,671,815",Jun/2021,$0.82,6,07/30/2020,$0.65
time-not-supplied,CHT,"Chunghwa Telecom Co., Ltd.","$31,572,807,417",Jun/2021,,0,07/30/2020,$0.37
time-after-hours,SWKS,"Skyworks Solutions, Inc.","$31,446,825,495",Jun/2021,$1.85,6,07/23/2020,$1.03
time-not-supplied,ES,Eversource Energy,"$29,575,871,209",Jun/2021,$0.81,5,07/30/2020,$0.76
time-after-hours,AJG,Arthur J. Gallagher & Co.,"$28,902,050,377",Jun/2021,$1.10,7,07/30/2020,$0.94
time-pre-market,CBRE,"CBRE Group, Inc.","$28,027,392,065",Jun/2021,$0.72,3,07/31/2020,$0.35
time-pre-market,WST,"West Pharmaceutical Services, Inc.","$27,459,463,823",Jun/2021,$1.74,4,07/23/2020,$1.25
time-pre-market,VLO,Valero Energy Corporation,"$27,305,179,022",Jun/2021,$0.44,4,07/30/2020,($1.25)
time-pre-market,LH,Laboratory Corporation of America Holdings,"$27,058,015,000",Jun/2021,$5.64,7,07/28/2020,$2.57
